week,time,fav,spr,und,blank1,Anne,Cate ,Donna ,Elliott,Francis,Franklona,Gabhandy,Gary,Joeanne,Jonathan,Leslie,Miles,Packy,Paul,Roberta,Soblocoa,blank2,s_Anne,s_Cate,s_Donna ,s_Elliott,s_Francis,s_Franklona,s_Gabhandy,s_Gary,s_Joeanne,s_Jonathan,s_Leslie,s_Miles,s_Packy,s_Paul ,s_Roberta,s_Soblocoa
1,9/4 8:35 ET,SEA,-5,GB,,SEA 6,GB 10,GB 10,SEA 6,SEA 6,GB 10,SEA 6,SEA 6,SEA 6,SEA 6,GB 10,SEA 6,SEA 6,SEA 6,GB 10,GB 10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,NO,-3,ATL,,NO 7,ATL 9,ATL 9,NO 7,ATL 9,ATL 9,ATL 9,ATL 9,NO 7,NO 7,NO 7,NO 7,NO 7,ATL 9,NO 7,NO 7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,STL,-3,MIN,,MIN 6,MIN 6,STL 10,MIN 6,MIN 6,MIN 6,STL 10,MIN 6,MIN 6,STL 10,STL 10,MIN 6,MIN 6,MIN 6,STL 10,STL 10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,PIT,-6,CLE,,PIT 3,PIT 3,CLE 13,PIT 3,PIT 3,CLE 13,PIT 3,CLE 13,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,PIT 3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,PHI,-10,JAC,,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,JAC 14,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,PHI 2,JAC 14,PHI 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,NYJ,-6.5,OAK,,NYJ 2,NYJ 2,OAK 14,NYJ 2,NYJ 2,NYJ 2,NYJ 2,NYJ 2,OAK 14,NYJ 2,NYJ 2,NYJ 2,NYJ 2,NYJ 2,NYJ 2,NYJ 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,BAL,-1,CIN,,BAL 2,BAL 2,CIN 14,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,BAL 2,CIN 14,BAL 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,CHI,-7,BUF,,CHI 3,CHI 3,BUF 13,CHI 3,CHI 3,BUF 13,BUF 13,CHI 3,CHI 3,CHI 3,CHI 3,CHI 3,CHI 3,CHI 3,CHI 3,CHI 3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,HOU,-3,WAS,,WAS 6,HOU 10,HOU 10,WAS 6,HOU 10,WAS 6,WAS 6,WAS 6,WAS 6,WAS 6,WAS 6,HOU 10,HOU 10,HOU 10,WAS 6,WAS 6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,KC,-3,TEN,,TEN 11,TEN 11,KC 5,KC 5,KC 5,TEN 11,KC 5,KC 5,KC 5,KC 5,KC 5,TEN 11,KC 5,KC 5,KC 5,TEN 11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 1:00 ET,NE,-4,MIA,,NE 7,MIA 9,MIA 9,NE 7,NE 7,MIA 9,NE 7,NE 7,NE 7,MIA 9,MIA 9,MIA 9,NE 7,NE 7,NE 7,MIA 9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 4:25 ET,TB,-4.5,CAR,,CAR 9,TB 7,TB 7,TB 7,CAR 9,TB 7,TB 7,TB 7,CAR 9,TB 7,TB 7,CAR 9,CAR 9,CAR 9,TB 7,CAR 9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/7 4:25 ET,SF,-3.5,DAL,,SF 5,DAL 11,SF 5,SF 5,SF 5,DAL 11,SF 5,SF 5,SF 5,SF 5,SF 5,DAL 11,SF 5,SF 5,DAL 11,DAL 11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
