week,time,fav,spr,und,blank1,Anne ,Cate ,Donna ,Elliott,Francis,Franklona,Gabhandy,Gary,Joeanne,Jonathan,Leslie,Miles,Packy,Paul ,Roberta,Soblocoa,blank2,s_Anne ,s_Cate ,s_Donna ,s_Elliott,s_Francis,s_Franklona,s_Gabhandy,s_Gary,s_Joeanne,s_Jonathan,s_Leslie,s_Miles,s_Packy,s_Paul ,s_Roberta,s_Soblocoa
1,9/10 8:30 ET,NE,-7,PIT,,NE 3,NE 3,PIT 13,NE 3,PIT 13,PIT 13,NE 3,NE 3,NE 3,NE 3,NE 3,NE 3,NE 3,NE 3,NE 3,NE 3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,GB,-6.5,CHI,,GB 6,CHI 10,GB 6,CHI 10,GB 6,CHI 10,GB 6,GB 6,GB 6,GB 6,GB 6,GB 6,CHI 10,GB 6,CHI 10,CHI 10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,KC,-1,HOU,,HOU 5,HOU 5,HOU 5,HOU 5,KC 11,HOU 5,KC 11,KC 11,HOU 5,HOU 5,HOU 5,KC 11,HOU 5,KC 11,HOU 5,HOU 5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,NYJ,-3.5,CLE,,NYJ 5,NYJ 5,CLE 11,CLE 11,NYJ 5,NYJ 5,CLE 11,NYJ 5,NYJ 5,NYJ 5,NYJ 5,CLE 11,NYJ 5,NYJ 5,CLE 11,NYJ 5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,IND,-1,BUF,,IND 5,BUF 11,BUF 11,IND 5,IND 5,BUF 11,IND 5,IND 5,BUF 11,IND 5,IND 5,BUF 11,IND 5,IND 5,IND 5,IND 5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,MIA,-4,WAS,,WAS 11,MIA 5,MIA 5,MIA 5,MIA 5,WAS 11,MIA 5,WAS 11,WAS 11,MIA 5,WAS 11,MIA 5,MIA 5,MIA 5,MIA 5,MIA 5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,CAR,-3,JAC,,CAR 6,CAR 6,JAC 10,CAR 6,CAR 6,JAC 10,CAR 6,CAR 6,CAR 6,JAC 10,CAR 6,CAR 6,CAR 6,JAC 10,JAC 10,JAC 10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 1:00 ET,SEA,-3.5,STL,,SEA 3,SEA 3,STL 13,SEA 3,SEA 3,STL 13,SEA 3,SEA 3,SEA 3,SEA 3,SEA 3,SEA 3,SEA 3,SEA 3,STL 13,SEA 3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 4:05 ET,ARI,-2.5,NO,,NO 7,ARI 9,ARI 9,NO 7,NO 7,NO 7,ARI 9,NO 7,NO 7,ARI 9,ARI 9,NO 7,ARI 9,ARI 9,NO 7,NO 7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 4:05 ET,SD,-3.5,DET,,SD 7,DET 9,SD 7,SD 7,DET 9,SD 7,SD 7,DET 9,DET 9,SD 7,SD 7,DET 9,SD 7,SD 7,DET 9,DET 9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 4:25 ET,TB,-3,TEN,,TB 4,TB 4,TEN 12,TB 4,TEN 12,TB 4,TB 4,TB 4,TEN 12,TB 4,TB 4,TB 4,TB 4,TEN 12,TB 4,TB 4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 4:25 ET,CIN,-3,OAK,,OAK 10,OAK 10,OAK 10,CIN 6,CIN 6,CIN 6,OAK 10,OAK 10,CIN 6,CIN 6,CIN 6,CIN 6,CIN 6,CIN 6,OAK 10,CIN 6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 4:25 ET,DEN,-4.5,BAL,,DEN 3,BAL 13,BAL 13,DEN 3,DEN 3,BAL 13,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,DEN 3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/13 8:30 ET,DAL,-7,NYG,,NYG 10,DAL 6,NYG 10,NYG 10,DAL 6,NYG 10,DAL 6,DAL 6,NYG 10,DAL 6,NYG 10,DAL 6,DAL 6,DAL 6,DAL 6,DAL 6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/14 7:10 ET,PHI,-3,ATL,,ATL 10,PHI 6,ATL 10,PHI 6,PHI 6,PHI 6,ATL 10,ATL 10,PHI 6,PHI 6,ATL 10,ATL 10,PHI 6,PHI 6,PHI 6,PHI 6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9/14 10:20 ET,MIN,-2.5,SF,,SF 8,SF 8,SF 8,MIN 8,SF 8,SF 8,MIN 8,SF 8,MIN 8,MIN 8,MIN 8,SF 8,MIN 8,MIN 8,MIN 8,SF 8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9/17 8:25 ET,KC,-3,DEN,,DEN 9,DEN 9,KC 7,KC 7,KC 7,DEN 9,KC 7,DEN 9,DEN 9,KC 7,KC 7,KC 7,DEN 9,KC 7,KC 7,DEN 9,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,CAR,-3,HOU,,CAR 11,HOU 5,HOU 5,HOU 5,CAR 11,HOU 5,CAR 11,CAR 11,HOU 5,CAR 11,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,NO,-9,TB,,NO 2,NO 2,NO 2,NO 2,NO 2,TB 14,NO 2,NO 2,NO 2,NO 2,NO 2, NO 2,NO 2,NO 2,NO 2,TB 14,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,PIT,-6,SF,,PIT 7,SF 9,SF 9,PIT 7,SF 9,SF 9,PIT 7,SF 9,PIT 7,PIT 7,PIT 7,PIT 7,PIT 7,PIT 7,SF 9,SF 9,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,MIN,-2.5,DET,,MIN 8,DET 8,DET 8,MIN 8,DET 8,MIN 8,DET 8,DET 8,DET 8,DET 8,MIN 8,MIN 8,MIN 8,MIN 8,DET 8,MIN 8,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,BUF,-1,NE,,NE 5,NE 5,BUF 11,BUF 11,NE 5,BUF 11,NE 5,NE 5,BUF 11,NE 5,NE 5,BUF 11,NE 5,NE 5,NE 5,NE 5,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,ARI,-2,CHI,,CHI 9,CHI 9,ARI 7,CHI 9,ARI 7,ARI 7,ARI 7,CHI 9,CHI 9,ARI 7,ARI 7,CHI 9,ARI 7,ARI 7,ARI 7,CHI 9,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,TEN,-1,CLE,,TEN 4,CLE 12,TEN 4,TEN 4,TEN 4,TEN 4,TEN 4,TEN 4,CLE 12,CLE 12,TEN 4,TEN 4,TEN 4,TEN 4,TEN 4,CLE 12,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,CIN,-3.5,SD,,SD 11,SD 11,CIN 5,SD 11,CIN 5,SD 11,CIN 5,CIN 5,CIN 5,CIN 5,CIN 5,CIN 5,SD 11,CIN 5,CIN 5,CIN 5,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,STL,-3,WAS,,WAS 12,STL 4,STL 4,STL 4,STL 4,WAS 12,STL 4,WAS 12,STL 4,STL 4,WAS 12,STL 4,STL 4,STL 4,STL 4,STL 4,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 1:00 ET,NYG,-2,ATL,,ATL 6,ATL 6,ATL 6,ATL 6,NYG 10,NYG 10,NYG 10,ATL 6,ATL 6,NYG 10,ATL 6,ATL 6,ATL 6,NYG 10,ATL 6,NYG 10,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 4:05 ET,BAL,-6,OAK,,BAL 6,BAL 6,OAK 10,BAL 6,BAL 6,OAK 10,OAK 10,OAK 10,OAK 10,BAL 6,BAL 6,BAL 6,BAL 6,BAL 6,BAL 6,OAK 10,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 4:05 ET,MIA,-6,JAC,,MIA 3,JAC 13,MIA 3,MIA 3,MIA 3,JAC 13,MIA 3,MIA 3,MIA 3,MIA 3,MIA 3,MIA 3,MIA 3,JAC 13,MIA 3,MIA 3,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 4:25 ET,PHI,-6.5,DAL,,PHI 6,DAL 10,PHI 6,PHI 6,PHI 6,DAL 10,PHI 6,PHI 6,PHI 6,PHI 6,PHI 6,DAL 10,DAL 10,PHI 6,DAL 10,DAL 10,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/20 8:30 ET,GB,-3,SEA,,SEA 10,GB 6,GB 6,SEA 10,GB 6,SEA 10,GB 6,SEA 10,GB 6,GB 6,GB 6,GB 6,SEA 10,GB 6,GB 6,SEA 10,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
2,9/21 8:30 ET,IND,-6,NYJ,,IND 3,IND 3,IND 3,IND 3,IND 3,NYJ 13,IND 3,IND 3,NYJ 13,IND 3,IND 3,IND 3,IND 3,IND 3,IND 3,NYJ 13,,48,53,81,30,68,50,66,58,52,50,55,75,50,73,30,36
3,9/24 8:25 ET,NYG,-3,WAS,,WAS 10,NYG 6,NYG 6,WAS 10,NYG 6,WAS 10,NYG 6,WAS 10,NYG 6,NYG 6,WAS 10,NYG 6,NYG 6,NYG 6,WAS 10,NYG 6,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 1:00 ET,STL,-1,PIT,,PIT 7,PIT 7,STL 9,STL 9,PIT 7,PIT 7,PIT 7,PIT 7,PIT 7,PIT 7,STL 9,STL 9,PIT 7,STL 9,STL 9,STL 9,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 1:00 ET,MIN,-2,SD,,SD 9,MIN 7,SD 9,MIN 7,SD 9,MIN 7,MIN 7,SD 9,MIN 7,MIN 7,MIN 7,SD 9,MIN 7,MIN 7,SD 9,SD 9,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
3,9/27 1:00 ET,HOU,-6,TB,,TB 11,HOU 5,HOU 5,HOU 5,TB 11,TB 11,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,HOU 5,TB 11,TB 11,,106,114,115,51,102,146,117,116,120,103,111,117,102,124,69,122
